Näringsvärden per 100 gram livsmedel
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa mättade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelomättade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa fleromättade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa långa n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Vitamin A();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);Järn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg);
Hushållsmargarin fett 80% berikad typ Milda;13;2977;712;0,5;80,0;0,5;0,0;1,5;1,5;17,5;0,0;0,0;0,3;0,0;0;32,0;0,3;2,0;1,1;23,4;2,6;0,0;30,0;0,0;33,8;18,0;;10,3;0,0;;4,3;;0,0;0,0;0,0;0,5;0,0;800;;;10,00;12,0;;0,00;0,00;0;0,0;0,1;0,00;0,00;0;0;;0;0,00;0;0;0;600;0,0;0,00;
Lättmargarin fett 38% berikad typ Becel;17;1457;348;0,0;38,0;3,0;0,0;1,3;1,3;57,8;0,0;0,0;0,0;0,0;0;8,0;0,2;0,9;0,3;4,9;1,2;0,0;11,0;0,0;11,9;19,0;;14,2;0,0;;3,7;;0,0;0,0;0,0;0,5;0,0;800;;;10,00;12,0;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;500;0,0;0,00;
Lättmargarin m växtsterol 7,5% fett 35% berik typ Becel proactiv;18;1339;320;0,1;35,0;2,5;0,0;0,5;0,5;54,4;0,0;0,0;0,0;0,0;0;9,0;0,2;1,3;0,5;6,2;1,3;0,0;9,0;0,0;8,1;17,0;;14,1;0,0;;2,6;;0,0;0,0;0,0;0,2;0,0;800;;;10,00;10,0;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;200;0,0;0,00;
Lättmargarin fett 40% berikad typ Lätt & lagom;20;1594;381;0,5;40,0;6,2;0,0;1,3;2,0;48,0;0,0;0,0;0,5;0,0;0;12,4;1,0;1,7;1,6;6,0;1,5;0,2;18,1;0,4;16,6;6,9;4,5;4,6;0,0;2,2;2,2;0,0;0,0;0,0;0,0;0,6;40,0;790;761;0;7,34;6,2;23;0,02;0,09;0;0,1;0,1;0,01;0,10;75;1;;0;0,10;60;20;1;500;0,0;0,00;
Majonnäs fett 90% ;21;3282;784;1,5;87,8;0,4;0,1;0,6;0,8;9,1;0,0;0,1;0,0;0,0;0;9,3;0,0;0,0;0,1;6,6;1,9;0,4;57,5;0,6;55,7;17,0;12,5;12,4;0,0;4,2;4,4;0,0;0,0;0,0;0,0;0,3;75,3;54;53;4;0,29;20,5;88;0,02;0,05;1;0,0;0,3;0,02;0,29;43;19;33;0;0,36;33;22;6;222;4,7;0,29;
Sesamsås grädde;22;1598;382;2,2;40,2;4,0;0,6;1,0;1,5;51,4;0,0;0,7;2,5;0,4;0;16,0;1,6;0,7;2,3;8,0;2,7;0,1;15,9;0,5;14,9;5,7;3,0;4,1;0,0;1,2;1,5;0,0;0,0;0,0;0,0;0,8;63,3;256;239;197;0,94;4,9;23;0,04;0,06;0;0,1;0,6;0,05;0,24;67;9;49;1;0,39;84;118;15;410;0,9;0,40;
Gravlaxsås hovmästarsås;23;1821;435;2,5;42,2;12,3;1,0;1,7;2,4;39,6;0,0;1,4;7,6;7,6;0;2,9;0,0;0,0;0,0;1,8;0,7;0,2;25,8;0,1;24,1;11,5;7,5;7,8;0,0;3,2;3,6;0,0;0,0;0,0;0,0;0,3;0,0;58;0;700;0,00;11,3;51;0,06;0,13;11;0,4;0,8;0,05;0,00;71;6;52;2;1,13;87;177;47;664;2,0;0,52;
Gravlaxsås;24;2322;555;1,6;56,0;13,1;0,0;0,7;1,3;28,0;0,0;0,8;9,5;9,5;0;8,2;0,0;0,0;0,0;5,8;1,9;0,2;13,4;0,0;13,2;32,0;;28,0;0,0;;4,0;;0,0;0,0;0,0;;0,0;35;0;420;0,00;8,0;;0,01;0,02;10;0,1;0,4;0,02;0,00;44;0;;0;1,90;58;79;32;275;0,0;0,10;
Remouladsås;25;2961;708;1,4;78,8;1,1;0,3;0,7;0,8;17,3;0,0;0,3;0,2;0,2;0;8,3;0,0;0,0;0,0;5,9;1,7;0,4;51,6;0,5;50,0;15,2;11,2;11,2;0,0;3,7;4,0;0,0;0,0;0,0;0,0;0,3;67,6;59;48;135;0,26;18,4;79;0,02;0,06;4;0,0;0,4;0,02;0,26;42;21;30;0;0,41;37;43;7;269;4,3;0,30;
Vinägrett dressing fett 45%;26;1834;438;0,7;47,7;3,3;0,2;3,6;3,8;44,3;0,0;0,3;0,0;0,0;0;3,4;0,0;0,0;0,0;2,0;0,8;0,3;29,2;0,1;28,1;13,1;8,9;9,0;0,0;3,7;4,0;0,0;0,0;0,0;0,0;0,3;0,0;0;0;0;0,00;12,5;61;0,01;0,02;1;0,0;0,1;0,00;0,00;22;0;182;0;0,43;54;59;18;1451;0,9;0,11;
Lättmargarin fett 40% berikad typ Lätt & lagom oliv;27;1625;388;0,5;40,0;8,0;0,0;1,9;2,2;49,3;0,0;0,0;1,0;0,0;0;17,3;1,0;1,8;1,3;11,0;1,9;0,2;17,0;0,2;16,6;3,9;;3,3;0,0;;0,6;;0,0;0,0;0,0;;10,0;900;900;0;7,50;2,5;;0,02;0,09;0;0,1;0,2;0,01;0,10;75;1;;0;0,10;60;20;1;750;0,0;0,00;
Matfettsblandning fett 40 % berikad typ Lätt & lagom omega 3;28;1579;377;0,3;40,0;5,5;0,0;1,3;1,3;53,0;0,0;0,0;0,5;0,0;0;12,4;1,0;1,7;1,6;6,0;1,5;0,2;18,1;0,4;16,6;7,7;4,5;4,6;0,0;2,9;2,2;0,8;0,3;0,0;0,4;0,6;70,0;790;761;343;7,34;6,2;23;0,00;0,00;0;0,0;0,1;0,00;0,00;0;0;;0;0,00;0;0;0;500;0,0;0,00;
Smör fett 80 %;29;3049;729;0,4;82,0;0,5;0,0;1,2;0,6;15,9;0,0;0,0;0,5;0,0;0;55,0;8,1;2,8;8,8;24,8;7,7;0,1;19,1;1,3;16,6;3,0;1,7;2,2;0,1;0,5;0,5;0,0;0,0;0,0;0,0;3,0;256,0;620;588;380;0,51;2,1;7;0,00;0,00;0;0,0;0,1;0,00;0,00;0;0;4;0;0,00;0;0;0;480;0,0;0,00;
Smör extrasaltat fett 80% ;30;3044;728;0,6;81,8;0,5;0,0;2,0;1,2;15,9;0,0;0,0;0,4;0,0;0;52,4;6,1;2,6;8,5;25,3;8,5;0,2;22,7;1,6;19,8;2,9;;2,0;0,1;;0,4;;0,1;0,1;0,0;3,0;256,0;697;667;369;0,56;1,8;;0,01;0,02;0;0,1;0,2;0,00;0,00;26;3;;0;0,20;18;20;3;790;0,5;0,10;
Smör osaltat fett 80%;31;3044;728;0,6;81,8;0,5;0,0;0,0;1,2;15,9;0,0;0,0;0,4;0,0;0;52,4;6,1;2,6;8,5;25,3;8,5;0,2;22,7;1,6;19,8;2,9;;2,0;0,1;;0,4;0,2;0,1;0,1;0,0;2,6;256,0;697;667;369;0,56;1,8;;0,01;0,02;0;0,1;0,2;0,00;0,00;24;3;;0;0,20;15;0;2;8;0,5;0,00;
Druvkärnolja;33;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;11,2;0,0;0,0;0,0;6,8;3,6;0,4;18,2;0,1;17,8;66,7;;65,9;0,0;;0,4;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;29,0;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;0;0,0;0,00;
Majsolja;34;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;12,9;0,0;0,0;0,0;10,3;1,8;0,4;28,2;0,1;27,7;54,5;53,3;53,6;0,0;0,9;0,9;0,0;0,0;0,0;0,0;0,4;0,0;0;0;0;0,00;16,8;2;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;0;0;0,00;0;0;0;0;0,0;0,00;
Olivolja;35;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;14,3;0,0;0,0;0,0;11,1;2,7;0,4;72,6;1,2;70,7;8,8;8,1;8,1;0,0;0,7;0,7;0,0;0,0;0,0;0,0;0,0;0,0;1;0;11;0,00;17,5;52;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;0;0;0,00;0;0;0;0;0,0;0,00;
Tistelolja;37;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;9,0;0,0;0,0;0,0;6,2;2,2;0,3;10,9;0,0;10,6;75,7;;75,5;0,0;;0,2;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;34,0;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;0;0,0;0,00;
Sesamolja;38;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;14,8;0,0;0,0;0,0;8,6;5,5;0,6;39,1;0,0;38,9;41,7;;41,3;0,0;;0,4;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;1,4;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;0;0,0;0,00;
Sojaolja;39;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;14,9;0,0;0,0;0,0;10,1;4,1;0,3;22,3;0,0;22,0;58,4;;51,1;0,0;;7,4;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;12,0;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;0;0,0;0,00;
Solrosolja;40;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;10,4;0,0;0,0;0,1;5,8;3,3;0,3;28,9;0,1;28,6;56,3;56,0;56,2;0,0;0,1;0,1;0,0;0,0;0,0;0,0;0,3;0,0;0;0;0;0,00;60,5;4;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;0;0;0,00;0;0;0;0;0,0;0,00;
Vetegroddsolja;41;3700;884;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;16,6;0,0;0,0;0,0;15,1;1,3;0,2;19,3;0,0;18,0;59,7;;54,2;0,0;;5,5;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;149,0;;0,00;0,00;0;0,0;0,0;0,00;0,00;0;0;;0;0,00;0;0;0;0;0,0;3,80;
Dressing fett ca 25% ;42;1098;263;0,5;25,0;9,7;0,0;1,8;1,8;63,0;0,0;2,1;1,5;1,5;0;3,7;0,0;0,0;0,0;2,7;0,9;0,1;5,8;0,0;5,7;14,4;;12,5;0,0;;1,8;;0,0;0,0;0,0;;26,0;6;6;0;0,00;2,8;;0,01;0,03;0;0,1;0,2;0,02;0,00;14;0;;0;0,20;9;9;2;710;0,5;0,10;
Dressing majonnäs fett ca 60% ;43;2395;572;1,0;59,9;9,5;0,0;0,9;1,4;28,2;0,0;2,1;10,4;10,4;0;9,2;0,0;0,0;0,0;6,2;2,2;0,2;13,8;0,0;13,6;34,3;;30,0;0,0;;4,4;;0,0;0,0;0,0;;90,0;113;113;0;0,00;3,7;;0,01;0,03;0;0,1;0,3;0,08;0,80;35;10;;0;0,20;11;10;7;350;1,0;0,20;
Dressing majonnäs fett ca 40% ;44;1898;454;0,5;40,0;24,0;0,2;1,7;2,1;33,2;0,0;3,1;18,6;18,6;0;6,1;0,0;0,0;0,0;4,2;1,5;0,2;9,8;0,0;9,8;22,3;;19,7;0,0;;2,6;;0,0;0,0;0,0;;26,0;2;2;0;0,00;2,5;;0,01;0,02;0;0,0;0,1;0,02;0,20;17;7;;0;0,30;11;142;5;680;0,5;0,10;
Dressing majonnäs fett ca 25%;45;1268;303;0,5;25,0;19,7;0,0;1,7;1,4;53,4;0,0;1,6;16,6;16,6;0;3,8;0,0;0,0;0,0;2,6;0,9;0,1;5,3;0,0;5,2;14,6;;12,7;0,0;;1,9;;0,0;0,0;0,0;;26,0;7;7;0;0,00;1,4;;0,01;0,02;0;0,0;0,1;0,02;0,00;2;5;;0;0,10;14;22;4;690;0,5;0,10;
Dressing olja fett ca 45% ;46;1739;416;0,5;43,1;8,0;0,0;0,5;2,5;45,9;0,0;2,1;1,5;1,5;0;6,3;0,0;0,0;0,0;4,3;1,7;0,2;9,6;0,0;9,6;25,2;;22,0;0,0;;3,2;;0,0;0,0;0,0;;0,0;3;3;0;0,00;2,0;;0,01;0,02;0;0,0;0,1;0,01;0,00;5;1;;0;0,20;10;15;1;216;0,5;0,10;
Dressing olja fett ca 25% ;47;1272;304;1,9;26,6;15,0;0,0;2,5;2,2;54,3;0,0;4,1;8,4;8,0;0;2,1;0,0;0,0;0,0;1,5;0,4;0,1;15,3;0,1;14,3;8,0;;5,5;0,0;;2,4;;0,0;0,0;0,0;;0,0;6;6;0;0,00;4,9;;0,01;0,02;0;0,0;0,3;0,00;0,00;15;1;;0;0,40;12;85;5;1015;0,5;0,10;
Dressing majonnäs lätt fett ca 15% ;48;907;217;1,0;14,5;20,8;0,0;1,5;1,4;62,3;0,0;3,3;15,0;15,0;0;2,2;0,0;0,0;0,0;1,4;0,6;0,1;3,5;0,0;3,3;8,3;;7,3;0,0;;1,0;;0,0;0,0;0,0;;0,0;6;6;0;0,00;1,9;;0,01;0,02;4;0,3;0,6;0,00;0,00;9;1;;0;0,30;6;85;5;611;0,1;0,10;
Dressing fett 0%;49;250;60;1,6;0,0;13,1;0,0;0,4;5,3;80,0;0,0;1,2;9,2;9,2;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;1;1;0;0,00;0,2;;0,00;0,00;0;0,0;0,3;0,00;0,00;5;0;;0;0,50;13;21;3;150;0,0;0,00;
Majonnäs fett 80% ;50;3003;718;1,0;80,0;1,5;0,0;0,9;1,1;16,4;0,0;0,0;2,0;2,0;0;7,6;0,0;0,0;0,0;5,7;1,6;0,2;15,4;0,2;15,0;50,3;;44,7;0,0;;5,7;;0,0;0,0;0,0;;120,0;150;150;0;0,00;4,9;;0,01;0,04;0;0,1;0,4;0,10;1,00;35;14;;0;0,20;11;10;7;350;1,0;0,20;
